date,value,series_id,title
2020-01-01,21427.7,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2020-04-01,19477.4,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2020-07-01,21138.5,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2020-10-01,21477.6,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2021-01-01,21494.5,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2021-04-01,22740.9,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2021-07-01,23173.5,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2021-10-01,24334.4,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2022-01-01,24386.0,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2022-04-01,24882.5,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2022-07-01,25723.9,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2022-10-01,26137.0,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2023-01-01,26575.4,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2023-04-01,26998.9,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2023-07-01,27610.1,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2023-10-01,27995.2,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2024-01-01,28269.5,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
2024-04-01,28563.8,GDPC1,Real Gross Domestic Product (Billions of Chained 2012 Dollars)
